state,region,pop2020,players,players_per_million
Alaska,West,733391,1,1.3635291406630297
Alabama,South,5024279,8,1.5922682637648107
Arkansas,South,3011524,9,2.9885200981297175
Arizona,West,7151502,5,0.6991538281049211
California,West,39538223,43,1.0875551994332169
Colorado,West,5773714,2,0.3463974834915619
Connecticut,Northeast,3605944,1,0.2773198918230566
District of Columbia,South,689545,2,2.900463349020006
Delaware,South,989948,3,3.0304622060956734
Florida,South,21538187,15,0.6964374485187634
Georgia,South,10711908,18,1.6803729083558223
Iowa,Midwest,3190369,4,1.2537734663294433
Illinois,Midwest,12812508,17,1.3268284398339498
Indiana,Midwest,6785528,14,2.063214535405351
Kansas,Midwest,2937880,4,1.3615259983389383
Kentucky,South,4505836,3,0.665803193902308
Louisiana,South,4657757,12,2.5763473706335476
Massachusetts,Northeast,7029917,4,0.5689967605591929
Maryland,South,6177224,9,1.456965135148086
Maine,Northeast,1362359,1,0.7340209151919576
Michigan,Midwest,10077331,13,1.2900241145200053
Minnesota,Midwest,5706494,9,1.57715052359645
Missouri,Midwest,6154913,11,1.7871901682444578
Mississippi,South,2961279,1,0.3376919229832785
North Carolina,South,10439388,26,2.4905674547205257
North Dakota,Midwest,779094,1,1.2835421656436836
Nebraska,Midwest,1961504,1,0.5098128782811556
New Jersey,Northeast,9288994,11,1.1841971261904143
Nevada,West,3104614,5,1.6105061692049316
New York,Northeast,20201249,28,1.3860529118768845
Ohio,Midwest,11799448,14,1.1864961818552868
Oklahoma,South,3959353,6,1.5153991068742798
Oregon,West,4237256,6,1.4160107390254448
Pennsylvania,Northeast,13002700,17,1.3074207664561974
Rhode Island,Northeast,1097379,1,0.9112621983836031
South Carolina,South,5118425,9,1.7583533997274552
Tennessee,South,6910840,5,0.7235010505235254
Texas,South,29145505,30,1.029318243070415
Utah,West,3271616,2,0.6113186877677576
Virginia,South,8631393,8,0.926849235111876
Washington,West,7705281,11,1.4275923227199632
Wisconsin,Midwest,5893718,10,1.696721831618004
Wyoming,West,576851,1,1.733549911502277
